"資格名","分類","詳細","報奨金","難易度","参考URL"
"税理士試験","税務","税法科目合格","150,000","[""S""]","https://www.nta.go.jp/taxes/zeirishi/zeirishishiken/zeirishi.htm"
"税理士試験","税務","簿記論・財務諸表論","100,000","[""A""]","https://www.nta.go.jp/taxes/zeirishi/zeirishishiken/zeirishi.htm"
"全経税法能力検定法人税法","税務","1級","10,000","[""C""]","http://www.zenkei.or.jp/exam/corptax"
"全経税法能力検定所得税法","税務","1級","10,000","[""C""]","http://www.zenkei.or.jp/exam/incometax"
"全経税法能力検定消費税法","税務","1級","10,000","[""C""]","http://www.zenkei.or.jp/exam/consumption"
"全経税法能力検定相続税法","税務","1級","10,000","[""C""]","http://www.zenkei.or.jp/exam/inheritance_tax"
"公認会計士試験","会計","論文式合格","150,000","[""S""]","https://www.fsa.go.jp/cpaaob/kouninkaikeishi-shiken/index.html"
"公認会計士試験","会計","短答式合格","100,000","[""S""]","https://www.fsa.go.jp/cpaaob/kouninkaikeishi-shiken/index.html"
"日商簿記検定","会計","1級","50,000","[""A""]","https://www.kentei.ne.jp/bookkeeping/class1"
"日商簿記検定","会計","2級","10,000","[""B""]","https://www.kentei.ne.jp/bookkeeping/class2"
"ビジネス会計検定","会計","1級","20,000","[""B""]","https://www.b-accounting.jp/about/"
"ビジネス会計検定","会計","2級","10,000","[""C""]","https://www.b-accounting.jp/about/"
"ファイナンシャル・プランニング技能検定","お金","1級","30,000","[""A""]","https://www.jafp.or.jp/exam/about/"
"ファイナンシャル・プランニング技能検定","お金","2級","10,000","[""C""]","https://www.jafp.or.jp/exam/about/"
"ファイナンシャル・プランニング技能検定","お金","3級","0","[""D""]","https://www.jafp.or.jp/exam/about/"
"社会保険労務士","労務社保","-","100,000","[""A""]","https://www.sharosi-siken.or.jp/"
"給与計算実務能力検定試験","給与","1級","20,000","[""C""]","https://jitsumu-up.jp/about/"
"給与計算実務能力検定試験","給与","2級","10,000","[""D""]","https://jitsumu-up.jp/about/"
"情報処理技術者試験（高度）","IT","-","100,000","[""A""]","https://www.jitec.ipa.go.jp/"
"応用情報技術者","IT","-","50,000","[""B""]","https://www.jitec.ipa.go.jp/"
"基本情報技術者","IT","-","30,000","[""C""]","https://www.jitec.ipa.go.jp/"
"ITパスポート試験","IT","-","10,000","[""D""]","https://www.jitec.ipa.go.jp/"
"中小企業診断士試験","その他","最終試験合格","100,000","[""A""]","https://www.j-smeca.jp/contents/007_shiken.html"
"中小企業診断士試験","その他","一次試験全科目合格","50,000","[""A""]","https://www.j-smeca.jp/contents/007_shiken.html"
"宅建試験","その他","-","30,000","[""B""]","https://gyosei-shiken.or.jp/"
"行政書士","その他","-","50,000","[""B""]","https://gyosei-shiken.or.jp/"
